,LIRF,EDDT,RJAA,EDDM,LFPG,SAEZ,CYYZ,MMMX,CYVR,EDDF,KJFK,SBGL,LEMD,ZSPD,OMDB,LTFM,ZBAA,VIDP,EFRO,EHEH,EFHK,LDZA,EBBR,EIDW,LGAV,BIKF,EETN,LKPR,FACT,ESSA,EGPH,LFQQ,LPPT
LIRF,0.0,1201.9453532976966,9907.71324590243,732.5545180372009,1103.018721080239,11152.64657458875,7086.091111460242,10223.713813904815,9002.229875705996,961.0099196871063,6867.05238818525,9169.145384992777,1329.6414771353595,9172.06002239199,4342.77025770545,1373.0851274414642,8150.518949275133,5933.755490675376,2879.518914006426,1195.6116672542362,2236.527853659462,537.5358486485911,1175.0465897459446,1887.877045473529,1085.5162109803623,3302.877772645817,2144.7432662773303,939.0896343890475,8447.492147870096,2026.0100284147838,1936.9351306841388,1202.6733084178702,1838.6369514241565
EDDT,1201.9453532976966,0.0,8941.163890156917,479.5750967765883,850.4974971095637,11933.024922521272,6477.895440186134,9713.650891230824,7979.429067098594,431.6826244968808,6367.419669376641,9999.899573136834,1853.640992836451,8428.152127029933,4634.536188630778,1712.5684114372132,7357.370941408385,5785.915771305621,1701.8548750228817,554.9586303035887,1118.8430222369009,784.5721209488278,633.1798423077714,1308.440821698761,1823.2230335509435,2379.1423258300797,1043.7146044590377,281.576913555292,9635.66209352229,838.7723740907484,1142.604257606154,737.3544487142678,2302.6857424820937
RJAA,9907.71324590243,8941.163890156917,0.0,9366.60393351221,9709.31227814645,18297.19994521465,10299.375959386833,11253.545374395047,7503.3643827802725,9366.014476753255,10829.468019943439,18531.195791108297,10771.365389773611,1795.1653470701212,7978.6421393820765,8980.31098908937,2133.3180240322217,5909.250123279566,7370.85294938375,9372.118080501896,7828.74735963798,9373.225157229546,9457.890709909856,9590.00408587783,9532.669034889863,8798.321608971684,7898.436176812024,9102.009097801203,14780.473523154042,8170.395509786672,9254.53199963534,9543.069153437295,11153.913596141403
EDDM,732.5545180372009,479.5750967765883,9366.60393351221,0.0,681.5692933331298,11571.029543749757,6639.638079367699,9844.86446381779,8340.059905344417,299.0736493547062,6480.773715334404,9616.447470619587,1496.9693797182808,8778.291229474024,4563.68638327735,1547.9829132915345,7721.985707506109,5899.979912189503,2179.5591456309016,573.3926461914037,1574.5399279099283,435.372805823521,596.828250612871,1381.2860601870107,1517.8783303811158,2669.2628149565803,1491.5970050572942,264.80111614065527,9179.18835595483,1317.3110466843007,1330.3366233869128,673.6101624423094,1983.6079398270863
LFPG,1103.018721080239,850.4974971095637,9709.31227814645,681.5692933331298,0.0,11100.067083107158,6018.511701618143,9198.923534624388,7924.983796384183,449.00506895345995,5833.386425117882,9184.123131785209,1064.514287652328,9266.538821703734,5238.30373722851,2213.88650722904,8189.724353071151,6565.92854943909,2358.800861619531,337.5067385741307,1895.5582344575273,1079.12295434704,251.42649654422516,784.9693369031335,2108.8935232724316,2225.1176543641695,1837.8392888325443,852.6058359792816,9363.399547331674,1539.1555178390888,868.6768639079258,177.29972762352907,1469.9632862919395
SAEZ,11152.64657458875,11933.024922521272,18297.19994521465,11571.029543749757,11100.067083107158,0.0,8985.871186138354,7396.77973611544,11306.011894863244,11502.137750607373,8534.711892841717,1995.428353470573,10084.891062660701,19605.48726466171,13675.498953376862,12266.824206187948,19289.70928642004,15794.490572393017,13282.900559270385,11430.931607617464,12981.387744901565,11662.142744355435,11343.810900959297,11025.405820274522,11725.05562218717,11460.844970957083,12932.640473630083,11830.92337423204,6886.082041979985,12598.548940741373,11358.623493704585,11246.712767060582,9632.30052917482
CYYZ,7086.091111460242,6477.895440186134,10299.375959386833,6639.638079367699,6018.511701618143,8985.871186138354,0.0,3247.890977992751,3346.065262820104,6342.662219553331,587.4088954268707,8271.186132408277,6058.631933989723,11414.11558758609,11080.592571500489,8171.274964889148,10560.263711728265,11639.223104050201,6243.416783834656,6069.742465228985,6598.71606358994,7071.777341214486,6043.2341631455665,5259.66456365284,8127.399159836934,4202.689344520942,6650.662663103135,6682.817209516884,13136.631844292497,6311.706893929508,5342.430556810266,5973.892370679363,5739.078245285105
MMMX,10223.713813904815,9713.650891230824,11253.545374395047,9844.86446381779,9198.923534624388,7396.77973611544,3247.890977992751,0.0,3944.571933641011,9551.980932636412,3365.6070797424704,7665.076602134776,9066.890918984103,12896.888950685934,14328.390980757462,11389.29648462006,12435.185662210233,14662.708439597296,9429.19591909452,9282.302300217629,9830.89999106367,10270.57949825156,9248.791253224706,8465.097546487645,11295.07456624003,7447.576134836068,9887.012309094367,9907.578033808217,13711.343976959879,9555.32776316363,8573.011598267407,9172.519686277623,8664.536583495246
CYVR,9002.229875705996,7979.429067098594,7503.3643827802725,8340.059905344417,7924.983796384183,11306.011894863244,3346.065262820104,3944.571933641011,0.0,8062.180754267541,3929.667087827683,11212.325649046332,8426.398460222947,9016.027042522252,11735.171711494506,9588.351242168645,8491.592942617246,11138.384837166739,6878.634761429539,7809.899033180775,7505.149627195536,8746.620493868128,7827.183480204533,7164.329817709851,9800.56504320369,5701.731716788582,7595.2331088364135,8252.779547259795,16465.20953208748,7411.6744673739295,7067.373027293543,7804.029472119836,8288.503867714651
EDDF,961.0099196871063,431.6826244968808,9366.014476753255,299.0736493547062,449.00506895345995,11502.137750607373,6342.662219553331,9551.980932636412,8062.180754267541,0.0,6189.1542734461045,9568.283601551813,1422.050572145159,8857.834873324387,4842.872064752151,1837.858012568955,7788.395209245619,6121.185112535329,2079.668281738598,274.34672759363383,1537.9389925099097,734.44155732098,304.70667836915743,1086.8940196113897,1815.8370182307754,2379.55963806095,1467.8755620952131,406.27801971921986,9393.055953949077,1222.987175365273,1032.8584656977316,392.7983156454291,1873.84706028188
KJFK,6867.05238818525,6367.419669376641,10829.468019943439,6480.773715334404,5833.386425117882,8534.711892841717,587.4088954268707,3365.6070797424704,3929.667087827683,6189.1542734461045,0.0,7729.093708099038,5762.025471470951,11872.965768605623,11000.82939708662,8027.011333646928,10977.61138682235,11754.94829850792,6318.434484589655,5920.872953839785,6606.914800539541,6905.329783235579,5885.3697807968165,5102.730002183939,7932.455806289573,4197.785190963327,6649.356410602336,6550.828678253268,12560.803274067739,6291.593874633475,5224.818687727301,5807.873795019511,5404.309620041176
SBGL,9169.145384992777,9999.899573136834,18531.195791108297,9616.447470619587,9184.123131785209,1995.428353470573,8271.186132408277,7665.076602134776,11212.325649046332,9568.283601551813,7729.093708099038,0.0,8146.258928316377,18271.284864397905,11884.360300095565,10271.767959942494,17318.624718116444,14063.511167522962,11451.376242794004,9519.607478719365,11078.85214073269,9684.845164511811,9432.38980302497,9192.749867185408,9730.98460712888,9842.304164811861,11021.75343361116,9879.080082772547,6087.871598998781,10709.342326685113,9529.814395113926,9339.141101101264,7714.979604082941
LEMD,1329.6414771353595,1853.640992836451,10771.365389773611,1496.9693797182808,1064.514287652328,10084.891062660701,6058.631933989723,9066.890918984103,8426.398460222947,1422.050572145159,5762.025471470951,8146.258928316377,0.0,10270.038168674499,5648.573067280119,2702.2488319417575,9206.378510653298,7255.328214906565,3422.0000222935455,1400.4404453661639,2947.4320721225527,1692.5382745319923,1315.552739483112,1454.225118962622,2377.4313326404604,2888.0069315874402,2883.3149200833927,1750.6615229202562,8584.107113717999,2601.3493707511634,1721.1421621023853,1235.5813496072453,512.8845584370001
ZSPD,9172.06002239199,8428.152127029933,1795.1653470701212,8778.291229474024,9266.538821703734,19605.48726466171,11414.11558758609,12896.888950685934,9016.027042522252,8857.834873324387,11872.965768605623,18271.284864397905,10270.038168674499,0.0,6448.573340149029,8021.792958328303,1098.8391881220052,4292.294164011961,7111.796723483437,8938.065932826861,7393.997300475772,8670.244773563427,9024.973770238224,9364.445984146492,8557.446927892031,8956.580903846041,7439.701976930367,8520.514010353765,12989.53522682959,7780.26414951412,9032.685343726816,9123.256093925884,10730.78496714352
OMDB,4342.77025770545,4634.536188630778,7978.6421393820765,4563.68638327735,5238.30373722851,13675.498953376862,11080.592571500489,14328.390980757462,11735.171711494506,4842.872064752151,11000.82939708662,11884.360300095565,5648.573067280119,6448.573340149029,0.0,3027.9011773987722,5846.428408163956,2183.190603769457,5027.306459147683,5102.345397401615,4537.025110362885,4162.586440529364,5147.156165772344,5918.191105076748,3271.3092464029237,6885.950773003389,4471.733222742804,4463.278821580964,7644.498781549268,4784.718435844448,5776.784700011543,5233.556863398388,6137.549256169119
LTFM,1373.0851274414642,1712.5684114372132,8980.31098908937,1547.9829132915345,2213.88650722904,12266.824206187948,8171.274964889148,11389.29648462006,9588.351242168645,1837.858012568955,8027.011333646928,10271.767959942494,2702.2488319417575,8021.792958328303,3027.9011773987722,0.0,7061.75886204329,4566.047060442222,2818.8505107888336,2107.001771303601,2134.8799157182702,1135.558870168953,2141.818322400416,2924.4683551417634,552.3631359390542,4087.246738830808,2037.0282863908224,1489.3589955451396,8429.362191332484,2177.481833179683,2830.767342771072,2221.5840343980844,3211.7174335800105
ZBAA,8150.518949275133,7357.370941408385,2133.3180240322217,7721.985707506109,8189.724353071151,19289.70928642004,10560.263711728265,12435.185662210233,8491.592942617246,7788.395209245619,10977.61138682235,17318.624718116444,9206.378510653298,1098.8391881220052,5846.428408163956,7061.75886204329,0.0,3811.22316900493,6013.908578937793,7858.784279958065,6308.537771925007,7637.516242212898,7945.907748157385,8268.747197889683,7607.430542904929,7870.884193010363,6357.094712899396,7461.550939385754,12967.734897763023,6691.864080722933,7936.25672217657,8042.99692176469,9657.682879314776
VIDP,5933.755490675376,5785.915771305621,5909.250123279566,5899.979912189503,6565.92854943909,15794.490572393017,11639.223104050201,14662.708439597296,11138.384837166739,6121.185112535329,11754.94829850792,14063.511167522962,7255.328214906565,4292.294164011961,2183.190603769457,4566.047060442222,3811.22316900493,0.0,5439.118104243794,6331.400341379829,5223.847444426262,5589.209484397878,6399.817544030502,7074.36258815461,4983.851376266188,7593.777972803409,5200.6264450305825,5714.970423703678,9282.845350520629,5583.875141564338,6836.246415386642,6501.080434257892,7767.803301105655
EFRO,2879.518914006426,1701.8548750228817,7370.85294938375,2179.5591456309016,2358.800861619531,13282.900559270385,6243.416783834656,9429.19591909452,6878.634761429539,2079.668281738598,6318.434484589655,11451.376242794004,3422.0000222935455,7111.796723483437,5027.306459147683,2818.8505107888336,6013.908578937793,5439.118104243794,0.0,2026.9394149057935,695.2573510545288,2385.7771646126907,2109.419990192777,2262.6890021087634,3184.843224387242,2177.0499490729367,795.9448462888196,1942.94896284112,11195.351682199891,863.3297003586031,1927.0385770142573,2186.4196889276245,3783.3341214037023
EHEH,1195.6116672542362,554.9586303035887,9372.118080501896,573.3926461914037,337.5067385741307,11430.931607617464,6069.742465228985,9282.302300217629,7809.899033180775,274.34672759363383,5920.872953839785,9519.607478719365,1400.4404453661639,8938.065932826861,5102.345397401615,2107.001771303601,7858.784279958065,6331.400341379829,2026.9394149057935,0.0,1559.3618854820566,1008.7302268245519,87.26507901126318,818.4419646564614,2089.016063229445,2117.6234281227908,1503.538739642221,642.0340692834425,9586.034315842975,1201.790094986564,761.9890447440483,187.09147772320674,1804.6765643174188
EFHK,2236.527853659462,1118.8430222369009,7828.74735963798,1574.5399279099283,1895.5582344575273,12981.387744901565,6598.71606358994,9830.89999106367,7505.149627195536,1537.9389925099097,6606.914800539541,11078.85214073269,2947.4320721225527,7393.997300475772,4537.025110362885,2134.8799157182702,6308.537771925007,5223.847444426262,695.2573510545288,1559.3618854820566,0.0,1722.928893753889,1646.5424706420476,2023.288540062737,2489.6794411140104,2409.583253800543,100.72063567001045,1319.6263258874899,10500.580656352362,398.5689357775947,1717.6968421996937,1739.9740827336304,3363.876975912895
LDZA,537.5358486485911,784.5721209488278,9373.225157229546,435.372805823521,1079.12295434704,11662.142744355435,7071.777341214486,10270.57949825156,8746.620493868128,734.44155732098,6905.329783235579,9684.845164511811,1692.5382745319923,8670.244773563427,4162.586440529364,1135.558870168953,7637.516242212898,5589.209484397878,2385.7771646126907,1008.7302268245519,1722.928893753889,0.0,1028.9384999379752,1812.1546193462373,1084.793589115557,3094.6660800724226,1628.0765988832688,503.18469523171706,8867.258411800965,1551.7236859844388,1764.554368661314,1099.1833149167103,2202.428641890457
EBBR,1175.0465897459446,633.1798423077714,9457.890709909856,596.828250612871,251.42649654422516,11343.810900959297,6043.2341631455665,9248.791253224706,7827.183480204533,304.70667836915743,5885.3697807968165,9432.38980302497,1315.552739483112,9024.973770238224,5147.156165772344,2141.818322400416,7945.907748157385,6399.817544030502,2109.419990192777,87.26507901126318,1646.5424706420476,1028.9384999379752,0.0,784.4652218415466,2101.487122926399,2128.9170434945413,1590.7996147657782,696.6701556393344,9538.261583682088,1287.8123921554281,764.8529460052239,104.17464565809286,1717.441913766903
EIDW,1887.877045473529,1308.440821698761,9590.00408587783,1381.2860601870107,784.9693369031335,11025.405820274522,5259.66456365284,8465.097546487645,7164.329817709851,1086.8940196113897,5102.730002183939,9192.749867185408,1454.225118962622,9364.445984146492,5918.191105076748,2924.4683551417634,8268.747197889683,7074.36258815461,2262.6890021087634,818.4419646564614,2023.288540062737,1812.1546193462373,784.4652218415466,0.0,2875.9209801847924,1486.395041095137,2002.9192181397093,1454.9163652752302,10009.776088175524,1624.7526881721867,337.2039534199319,715.1697675357511,1642.4746695558613
LGAV,1085.5162109803623,1823.2230335509435,9532.669034889863,1517.8783303811158,2108.8935232724316,11725.05562218717,8127.399159836934,11295.07456624003,9800.56504320369,1815.8370182307754,7932.455806289573,9730.98460712888,2377.4313326404604,8557.446927892031,3271.3092464029237,552.3631359390542,7607.430542904929,4983.851376266188,3184.843224387242,2089.016063229445,2489.6794411140104,1084.793589115557,2101.487122926399,2875.9209801847924,0.0,4176.891888856657,2389.0689513250063,1555.754332455913,8014.8303514408435,2452.3533525122343,2848.2113604641363,2161.2853740484825,2870.399397724636
BIKF,3302.877772645817,2379.1423258300797,8798.321608971684,2669.2628149565803,2225.1176543641695,11460.844970957083,4202.689344520942,7447.576134836068,5701.731716788582,2379.55963806095,4197.785190963327,9842.304164811861,2888.0069315874402,8956.580903846041,6885.950773003389,4087.246738830808,7870.884193010363,7593.777972803409,2177.0499490729367,2117.6234281227908,2409.583253800543,3094.6660800724226,2128.9170434945413,1486.395041095137,4176.891888856657,0.0,2454.7484880957145,2628.101221542469,11472.045420118653,2109.0743457943413,1366.1622281126076,2102.4846976713584,2942.307926147029
EETN,2144.7432662773303,1043.7146044590377,7898.436176812024,1491.5970050572942,1837.8392888325443,12932.640473630083,6650.662663103135,9887.012309094367,7595.2331088364135,1467.8755620952131,6649.356410602336,11021.75343361116,2883.3149200833927,7439.701976930367,4471.733222742804,2037.0282863908224,6357.094712899396,5200.6264450305825,795.9448462888196,1503.538739642221,100.72063567001045,1628.0765988832688,1590.7996147657782,2002.9192181397093,2389.0689513250063,2454.7484880957145,0.0,1234.036333291913,10399.864784061421,389.62412735087645,1705.517234342453,1686.475455041425,3307.6755735702613
LKPR,939.0896343890475,281.576913555292,9102.009097801203,264.80111614065527,852.6058359792816,11830.92337423204,6682.817209516884,9907.578033808217,8252.779547259795,406.27801971921986,6550.828678253268,9879.080082772547,1750.6615229202562,8520.514010353765,4463.278821580964,1489.3589955451396,7461.550939385754,5714.970423703678,1942.94896284112,642.0340692834425,1319.6263258874899,503.18469523171706,696.6701556393344,1454.9163652752302,1555.754332455913,2628.101221542469,1234.036333291913,0.0,9358.288777530079,1086.9490092945773,1341.4084262122346,793.0800262284977,2228.9079544309607
FACT,8447.492147870096,9635.66209352229,14780.473523154042,9179.18835595483,9363.399547331674,6886.082041979985,13136.631844292497,13711.343976959879,16465.20953208748,9393.055953949077,12560.803274067739,6087.871598998781,8584.107113717999,12989.53522682959,7644.498781549268,8429.362191332484,12967.734897763023,9282.845350520629,11195.351682199891,9586.034315842975,10500.580656352362,8867.258411800965,9538.261583682088,10009.776088175524,8014.8303514408435,11472.045420118653,10399.864784061421,9358.288777530079,0.0,10410.637422820557,10213.775685686389,9522.742717702058,8579.965571388671
ESSA,2026.0100284147838,838.7723740907484,8170.395509786672,1317.3110466843007,1539.1555178390888,12598.548940741373,6311.706893929508,9555.32776316363,7411.6744673739295,1222.987175365273,6291.593874633475,10709.342326685113,2601.3493707511634,7780.26414951412,4784.718435844448,2177.481833179683,6691.864080722933,5583.875141564338,863.3297003586031,1201.790094986564,398.5689357775947,1551.7236859844388,1287.8123921554281,1624.7526881721867,2452.3533525122343,2109.0743457943413,389.62412735087645,1086.9490092945773,10410.637422820557,0.0,1320.2510546542144,1375.4704625714714,2998.3052371348076
EGPH,1936.9351306841388,1142.604257606154,9254.53199963534,1330.3366233869128,868.6768639079258,11358.623493704585,5342.430556810266,8573.011598267407,7067.373027293543,1032.8584656977316,5224.818687727301,9529.814395113926,1721.1421621023853,9032.685343726816,5776.784700011543,2830.767342771072,7936.25672217657,6836.246415386642,1927.0385770142573,761.9890447440483,1717.6968421996937,1764.554368661314,764.8529460052239,337.2039534199319,2848.2113604641363,1366.1622281126076,1705.517234342453,1341.4084262122346,10213.775685686389,1320.2510546542144,0.0,736.7464462666057,1956.1303624433278
LFQQ,1202.6733084178702,737.3544487142678,9543.069153437295,673.6101624423094,177.29972762352907,11246.712767060582,5973.892370679363,9172.519686277623,7804.029472119836,392.7983156454291,5807.873795019511,9339.141101101264,1235.5813496072453,9123.256093925884,5233.556863398388,2221.5840343980844,8042.99692176469,6501.080434257892,2186.4196889276245,187.09147772320674,1739.9740827336304,1099.1833149167103,104.17464565809286,715.1697675357511,2161.2853740484825,2102.4846976713584,1686.475455041425,793.0800262284977,9522.742717702058,1375.4704625714714,736.7464462666057,0.0,1624.5352370256298
LPPT,1838.6369514241565,2302.6857424820937,11153.913596141403,1983.6079398270863,1469.9632862919395,9632.30052917482,5739.078245285105,8664.536583495246,8288.503867714651,1873.84706028188,5404.309620041176,7714.979604082941,512.8845584370001,10730.78496714352,6137.549256169119,3211.7174335800105,9657.682879314776,7767.803301105655,3783.3341214037023,1804.6765643174188,3363.876975912895,2202.428641890457,1717.441913766903,1642.4746695558613,2870.399397724636,2942.307926147029,3307.6755735702613,2228.9079544309607,8579.965571388671,2998.3052371348076,1956.1303624433278,1624.5352370256298,0.0
